STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QPCP,Measurement Flag,Quality Flag,Units
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731126 05:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731126 07:00,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731126 08:00,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731126 19:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731126 20:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731126 22:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731201 00:15,0.00,g, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731201 19:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731201 20:15,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731201 21:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731201 23:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731202 01:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731202 13:45,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731213 16:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731213 17:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731213 17:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731213 18:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731217 18:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731217 19:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731217 19:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731217 20:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731218 01:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731218 02:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731218 06:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731218 07:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731218 08:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731218 09:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731222 16:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731222 17:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731222 21:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731222 22:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731223 02:15,999.99,a, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731223 03:00,0.10,A, ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731223 21:30,0.10, , ,HT
COOP:427606,SALT LAKE TRIAD CENTER UT US,1318,40.76667,-111.88333,19731227 08:15,999.99,a, ,HT
