STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units,QPCP,Measurement Flag,Quality Flag,Units
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 16:00,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840314 16:30,-9999, , , ,999.99,{, ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 16:30,-9999, , , ,999.99,}, ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 17:15,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 17:30,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 17:45,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 18:00,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 18:15,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 18:30,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 18:45,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 19:00,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 19:15,-9999, , , ,0.03, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 19:30,-9999, , , ,0.03, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 19:45,-9999, , , ,0.03, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 20:00,-9999, , , ,0.03, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 20:15,-9999, , , ,0.03, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 20:30,-9999, , , ,0.03, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 20:45,-9999, , , ,0.03, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 21:00,-9999, , , ,0.03, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 21:15,-9999, , , ,0.04, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 21:30,-9999, , , ,0.04, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 21:45,-9999, , , ,0.04, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 22:00,-9999, , , ,0.04, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 22:15,-9999, , , ,0.04, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 22:30,-9999, , , ,0.04, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 22:45,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 23:15,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840315 23:45,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840316 00:15,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840316 04:00,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840316 07:15,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840316 08:45,-9999, , , ,0.01, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840317 10:15,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840317 10:30,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840317 10:45,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840317 11:00,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840317 11:15,-9999, , , ,0.02, , ,HI
COOP:427064,PROVO BYU UT US,1392.9,40.25,-111.65,19840317 11:30,-9999, , , ,0.02, , ,HI
