STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,QGAG,Measurement Flag,Quality Flag,Units
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990420 13:00,0.92, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990421 01:45,0.93, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990421 02:30,0.94, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990421 07:15,0.95, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990421 15:45,0.96, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990422 06:00,0.97, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990423 07:45,0.98, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990424 04:00,0.99, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990424 14:15,1.00, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990425 15:30,1.01, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990427 00:45,1.03, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990427 01:45,1.04, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990427 03:15,1.05, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990427 05:00,1.06, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990427 06:45,1.07, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990427 09:30,1.08, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990427 10:30,1.09, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990427 11:45,1.10, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990427 15:30,1.11, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990427 21:15,1.12, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990428 02:00,1.13, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990428 03:30,1.14, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990428 08:00,1.15, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990428 09:00,1.16, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990428 11:30,1.17, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990428 13:30,1.18, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990428 14:45,1.19, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990428 18:00,1.20, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990428 22:15,1.21, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990429 05:30,1.22, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990430 00:30,1.23, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990430 03:30,1.24, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990430 09:45,1.24, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990430 10:00,999.99,[, ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990501 00:15,1.24,N, ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990502 14:00,1.25, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990502 16:15,1.26, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990502 17:45,1.27, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990502 18:30,1.28, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990502 19:15,1.29, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990502 20:00,1.30, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990502 20:30,1.31, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990502 21:30,1.32, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990502 22:15,1.33, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990502 23:15,1.34, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990503 00:30,1.35, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990503 04:30,1.36, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990503 07:45,1.39, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990503 09:30,1.40, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990503 11:00,1.41, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990503 14:30,1.42, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990503 16:45,1.43, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990503 22:30,1.44, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990504 00:45,1.45, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990504 12:15,1.46, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990504 16:00,1.47, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990504 19:00,1.48, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990505 01:00,1.50, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990505 09:00,1.51, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990509 05:30,1.52, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990509 07:30,1.53, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990512 20:00,1.54, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990512 23:15,1.55, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990513 00:15,1.56, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990513 00:30,1.57, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990513 00:45,1.58, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990513 01:00,1.59, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990513 01:30,1.60, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990513 01:45,1.61, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990513 02:30,1.62, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990513 03:45,1.63, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990513 06:30,1.64, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990513 08:00,1.65, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990514 00:45,1.66, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990515 04:30,1.67, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990515 07:15,1.68, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990515 08:15,1.69, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990515 09:30,1.70, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990516 10:00,1.71, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990517 13:15,0.16, , ,HT
COOP:420342,ARGENTA UT US,2127.5,40.64,-111.67833,19990524 08:15,0.17, , ,HT
